GeneSymbol,rhythmicity_mm_Heart,rhythmicity_mm_Lung,rhythmicity_hs_Lung,GtexMeanTPMv8_hs_Muscle.Skeletal,GSE38718_gender_hs_sm,GSE123878_exercise_Mm_sm
ABHD17A,8.69468e-06,13.8639,3.00852,4.95884,,0.0760689478838647
ABHD17B,2.61206e-06,1.05717,0.633309,3.52577,0.125667216187367,0.10140952457369
ABHD17C,22.0477,0.00296013,0.159929,0.935041,,0.0026640448942616
ABHD18,2.14498,0.0,2.02531,2.43913,0.18650050909829,0.807665867315825
ABHD2,5.86939,12.4738,0.208221,4.10283,0.0054397717608374,0.713021818386222
ABHD3,3.68221e-09,5.71787,0.342687,3.36153,,0.819588166710849
ABHD4,10.4405,0.00296178,0.133196,4.21624,0.132601369059828,0.103206736654338
ABHD5,3.0689,7.02953,0.563384,3.14835,0.324364645780605,0.0111475696556857
ABHD6,8.30088,1.5553,0.223524,1.92781,,0.205540051437222
ABHD8,4.58658,14.3884,1.27957,3.47031,0.130893957078122,0.0354887570086684
ABI1,0.0,0.723394,2.00365,3.76862,0.365664705520776,0.0519626782026814
ABI2,1.49744e-12,0.0,1.52593,1.81634,0.0042720422745645,0.0725002358089748
ABI3,0.464459,1.6491e-09,1.59609,1.35637,,0.0129985676667597
ABI3BP,,,4.06264,2.01067,,
ABITRAM,0.757514,0.116414,0.877412,3.04643,0.0243390362598532,0.171480770171738
ABL1,13.5717,18.4589,0.00118683,4.3915,0.0543374533462435,0.320201701587128
ABL2,0.0,4.08956,1.75796,1.79639,0.126340216747358,0.0043301710538639
ABLIM1,0.0,4.54768,4.26536,5.7638,,1.35853696513925
ABLIM2,2.75656,7.12793,1.1035,7.22401,0.238182509775532,0.158918498539194
ABLIM3,2.94116,10.1339,0.539589,4.77458,0.0945016570175072,0.340099413970081
ABO,0.0,2.09052,0.287078,0.869058,0.23622561509662,
ABR,1.37445,0.0,2.21383,2.8013,0.0465488621448822,0.313020239021997
ABRA,11.1236,3.19471,,6.47762,0.118302477747106,0.611368495297358
ABRACL,0.706558,0.371448,7.18694,1.18511,,0.281687910886979
ABRAXAS1,3.69355e-13,0.0,5.94319,1.85728,,0.18814608941553
ABRAXAS2,2.62014,0.0382149,0.238534,4.05799,,0.12478147137534
ABT1,0.432062,7.94094,1.47987,3.15596,,0.0871600759584615
ABTB1,2.29365e-13,1.69113,0.952661,4.89152,,0.0824372555269365
ABTB2,19.2768,1.2123,1.34737,3.62669,0.164894343707111,0.0007927663877768
ACAA1,5.49708e-13,5.27348,0.0888237,4.47448,0.0638390061882816,0.155590007955357
ACAA2,0.000951048,24.3636,0.491839,5.92195,0.160908017605855,0.459510570949624
ACACA,0.0954155,13.2783,,3.03773,0.10711350988777,0.0705132490443317
ACACB,2.47911,0.0,15.2483,7.11632,0.209909695541981,0.0821681021471999
ACAD10,3.24909,4.54458,2.83007,2.64788,0.0753367444862967,0.0946410085048794
ACAD11,0.073048,7.96475e-05,,3.263,,0.23005062426684
ACAD8,0.0,5.11412e-08,0.260744,4.31748,,0.115844744622115
ACAD9,1.7747e-13,1.44154e-15,0.0768809,4.38953,,0.0511439861827626
ACADL,1.11311e-07,19.7029,6.02365,3.01022,,0.348696195487345
ACADM,0.45024,16.7904,0.0445754,6.59544,0.0641841727847066,0.13356009372717
ACADS,1.80497e-06,0.0446177,0.131424,6.86073,0.0894644496229438,0.283182928162704
ACADSB,0.0,5.09702,2.84803,4.6101,,0.103684480400865
ACADVL,5.58273e-09,3.43208,0.695151,9.27835,,0.4103367729136
ACAN,,,,0.160192,0.0054359062549691,
ACAP1,0.484947,4.74679,2.32897,1.59802,0.108344489333062,
ACAP2,0.646883,5.13317e-12,0.387796,2.28134,0.065758974560572,0.0878089982047746
ACAP3,5.30399e-08,33.1695,2.37223,4.56685,,0.0824440971021941
ACAT1,6.70941e-09,0.772766,0.837935,6.7061,0.06149347440665,0.0383736760538462
ACAT2,0.0201863,16.2128,0.550762,1.77774,,0.107992191816883
ACBD3,3.27147,0.0201851,0.753945,4.17375,0.128106937768314,0.0011496490412674
ACBD4,0.446908,0.0,6.69711,2.28564,,0.131599574491322
ACBD5,0.000134324,0.0,1.06619,4.06169,0.0682658001910257,0.0404684767425321
ACBD6,3.89216e-14,3.82329e-13,1.76567,2.75605,,0.0988918743402823
ACBD7,0.0,1.27918e-08,,0.0564646,,
ACCS,0.000136527,0.908659,5.19664,2.23442,0.0290516559137144,0.476155802565815
ACCSL,2.16231e-14,0.00302586,,0.0113787,,
ACD,0.0,1.29691e-12,5.13706,3.05484,0.0547303644523316,0.149324384168296
ACE,,,2.5598,1.64135,,0.146280184927781
ACE2,9.03287,0.157492,,0.683292,,0.290697872847612
ACER1,1.01698e-06,3.24478e-08,,0.113645,0.170476659494071,
ACER2,19.1428,6.9268,,1.09263,,0.352162258641247
ACER3,1.49261,2.444e-09,0.313874,1.27089,0.013504271348133,0.151061777416617
ACHE,0.50095,0.0,0.00300997,4.96117,,0.0052566445754724
ACIN1,11.9284,0.0,1.72436,5.11192,,0.0965828990346309
ACKR1,0.0,2.5367e-11,0.00404381,4.92235,,0.355102304259246
ACKR2,1.14827e-10,7.51005,,0.388392,0.0004049380744355,0.025041397652321
ACKR3,8.90403,0.0,2.62282,4.6424,,0.026587861649013
ACKR4,12.7566,8.85153e-08,0.286052,0.308795,,0.471098696915684
ACLY,0.0,2.37987,1.55488,3.63318,,0.0696991786603968
ACMSD,1.00573e-07,0.989391,,0.0420775,0.0507879383899246,
ACO1,3.51502e-07,4.48566,3.99776,3.56327,,0.0650054860905283
ACO2,0.000385489,1.74973,0.144858,8.1253,,0.0561268340156931
ACOD1,9.22587e-14,1.1842,,0.00327236,0.0581098673363369,
ACOT1,0.0,0.000832625,2.4633,3.24674,,
ACOT11,10.524,19.1913,,1.206,0.151919711964707,0.482278995912272
ACOT12,8.62522e-07,0.0,,0.0202325,0.0140702112822617,
ACOT13,0.0,6.43329e-08,0.351738,3.5025,,0.0802990080485058
ACOT2,6.64777,5.01503,0.238214,4.94227,,0.340379966343135
ACOT4,2.87568e-08,0.583136,0.357714,0.470692,0.0423146312445488,
ACOT7,2.04282,0.0124181,1.5018,1.72481,0.125017675019583,0.0199680007674965
ACOT8,2.34183e-06,0.00296031,0.467889,4.15221,,0.181703653560443
ACOT9,0.178125,0.000229261,0.231649,3.77239,,0.373272964014204
ACOX1,0.158685,3.90327,0.370566,4.23639,0.123552487185203,0.209433483325419
ACOX2,2.52478e-12,8.96619,23.3807,2.67159,,
ACOX3,0.0598165,4.46784,0.156671,2.50746,,0.0210918702548658
ACOXL,0.0,37.003,0.462601,0.063941,0.100028655935393,
ACP1,2.41984,1.31809e-08,1.09293,5.05146,0.224236260915129,0.0153774927712169
ACP2,0.630335,0.00305179,3.86267,3.40056,,0.163334582020408
ACP3,0.101959,6.7699,0.241726,0.136106,0.0200825669509599,
ACP4,0.0,5.89251e-06,,0.0323619,0.0611068770486431,
ACP5,,,1.06271,0.736297,0.047085613513044,
ACP6,6.93668e-05,5.36769,5.27244,1.46986,,0.149263179739455
ACP7,2.20716e-13,0.0,,0.0278502,,
ACR,3.6068e-08,2.55518,1.02055,0.786153,,
ACRBP,4.24657e-07,0.970535,1.2147,0.475041,0.168340517006781,0.0830873292461091
ACRV1,0.0,1.24329e-09,,0.0452107,,
