GeneSymbol	log2FC
Hspa8	0.0619510679323843
Ndufb5	0.282362989080649
Rps20	0.193228047557062
Rack1	0.119326306202018
Eif1	0.246092154588422
Coq9	0.0464040471319961
Cox7c	0.169033049532117
Rps9	0.12010644788887
Coq8a	0.666544621309626
Dcn	0.218437826373653
Tecr	0.212219404016495
Smyd1	0.0481038886236632
Ndufv1	0.176888640599205
Slc2a4	0.0725323884963557
Trim54	0.351538524697291
Lpl	0.389001335714097
Rps2	0.0336329677042605
Rpl12	0.155621345845684
Uqcc2	0.101847008833977
Ndufa13	0.0721923930099856
Suclg1	0.00828009469394874
Tcea3	0.29598130063566
Ndufa8	0.0719117770114965
Ndufb2	0.037010107977394
Rpl32	0.122229956839687
Klhl41	0.381726769549266
Tmem109	0.250324583605021
Cmya5	0.18270077251942
Uba52	0.0482052024557869
Fhl1	1.884376023013
Rpl7	0.147929052546794
Stac3	0.162153637863449
Got1	0.181173387980545
Gpx3	0.940386912396588
Smox	0.162099932222336
Ndufv2	0.0199492018074241
Igfbp5	0.180019959635063
Calm3	0.433885778338228
Cacna1s	0.0660320783778625
Tmsb4x	0.142416384953548
Chchd3	0.00310814636464673
Myl2	1.71022622391661
Ywhae	0.109035951833622
Psmb7	0.113790621044809
Rpl9	0.0100340322307205
Nexn	0.14498620160474
Cib2	0.306901562796134
Ndufa9	0.107842960978707
Oxct1	0.0521425697864337
Rps8	0.106635163191271
Fitm1	0.0579062682526746
Cacng1	0.412049117813895
Mpc2	0.107756059447657
Rps21	0.090506281193586
Rpl7a	0.233725726564002
Ogdh	0.0032798491846466
Ybx1	0.222762905752762
Atp5md	0.133241749395445
Cdc34	0.201488561765817
Rps24	0.211258206471594
Txlnb	0.185844014887484
Rps17	0.0600093450461317
Kif1c	0.248384658294002
Gys1	0.146855216324948
Cox7a2	0.136474699481054
Xirp2	0.126390064931567
Pdk4	0.855910396382232
Tuba8	0.134402149837372
Dhrs7c	0.3533012166753
Ndufs6	0.059218978059294
Capza2	0.222265314989216
Cd24a	0.353737578789649
Hspa9	0.0378316584756572
Scn4b	0.104844638717251
Pdhb	0.160339496789224
Acadvl	0.4103367729136
Fxr1	0.059812223161341
Ube2d1	0.224393739123958
Phka1	0.377150136342189
Ndufs1	0.106782611867476
Csde1	0.1636530968957
Ndufa2	0.0608442493545605
Ndufb6	0.074098974624583
Nfe2l1	0.234400182639624
Ghitm	0.0131167930638515
Ndufa1	0.0295688241378416
Myl3	0.411026162132082
Fkbp3	0.0938841861230565
Sypl2	0.0333345222285659
Rps11	0.150026762089627
Etfb	0.268401307349731
Capzb	0.15461403270152
Ech1	0.239350079834145
Calm1	0.258099751787028
Sod1	0.167014491911636
Trp53inp2	0.303337064976719
Cpe	0.30992543775051
Coq10a	0.034292674382171
Rps26	0.218242497326674
Eif4g1	0.138621386935448
Gnas	0.119604773275659
Phyh	0.11703544048449
Hint1	0.141926330586636
Tmod1	0.128360812060438
Acadm	0.13356009372717
Idh2	0.323495055619653
Rpl36	0.119049222339524
Mfn2	0.150938663048155
Ndufa12	0.0570951253791158
Chchd2	0.103485034490921
Ndufs3	0.0515789288024797
Rtn4	0.175873392306101
Asb5	0.597041592050211
Slc25a12	0.0588082201811432
Pfkfb3	0.257914848290395
Synm	0.262817319629183
Ptp4a3	0.242352195434775
Fh1	0.0729676684638956
Vdac2	0.0632260745453845
Rps18	0.101841808317727
Crat	0.0280655900484816
Rps25	0.15430214218431
Acadl	0.348696195487345
Eef1g	0.00200676232212983
Smtnl2	0.259791534609161
Sparc	0.0377278529065295
Rsrp1	0.420007740743068
Trim63	0.494944305064437
Cfl2	0.0911527138167956
Slc25a11	0.112857537273749
Rpl28	0.120495620729477
Rps4x	0.0570150341115711
Hnrnpa2b1	0.0712872516012348
Serpinb6a	0.201034205555093
Msrb1	0.151421413542353
Ndufc2	0.0226324029399743
Nudt4	0.278909049662241
Gatd3a	0.0277632018983097
H19	1.16320420307322
Laptm4a	0.103018131020909
Prdx3	0.00658457092349307
Zfp106	0.0110937048455728
Txn2	0.125847470685461
Rpl10	0.162634997032609
Cisd1	0.0138768558891093
Prkab2	0.529536977433739
Unc45b	0.0777376974338397
Rpl17	0.212233928997663
Elob	0.172102222403002
Rps13	0.0566747760236411
Hdgf	0.170359645432074
Calm2	0.234360134671093
Prdx5	0.151815695542983
Rpl11	0.061814864598014
Atp1b2	0.269752147902318
Itgb1bp2	0.373893993763241
Actb	0.117846823331062
Prdx1	0.100245277652517
Nme2	0.0503756329804798
Sem1	0.0966706070418072
Ddx5	0.152818083474273
Rpl13a	0.064782688221171
Acyp2	0.237932049913787
S100a1	0.00365916405747199
Aqp1	0.156629370172957
Itm2b	0.0505987924387179
Syngr2	0.275659950590329
Dld	0.133263860882396
Psmd8	0.260531719982956
Agl	0.197636833588595
Rpl14	0.104334674064951
Mybph	0.456130396811009
Rpl19	0.0403894095906056
Ttn	0.0857045851348075
Ndufb3	0.376403704416024
Higd2a	0.141931274125168
Ldhb	0.779360069956946
Tmem233	0.375460831626691
Etfa	0.400995237396817
Macrod1	0.138242780353819
Hadha	0.370836276981094
Pfn1	0.157707415280058
Dlst	0.16395464729247
2310040G24Rik	0.0141401639094947
Selenop	0.0211453054695615
Ppp1r27	0.372012516135229
Ubxn1	0.213686164037883
Mir6236	0.880514576990874
Pgk1	0.0217424715488658
Mrpl30	0.0296318207433468
Phkb	0.320134560435789
Immt	0.0907302466470738
Camk2a	0.389631924103291
Rps3a1	0.09859558918747
Got2	0.409528685100309
Map1lc3a	0.129598840014517
Timm8b	0.199384919374523
Sgca	0.26848606188692
Akr1a1	0.128802055121309
Ppp1cb	0.152445785427822
Capns1	0.010160590154621
Skp1a	0.107517893954988
Prxl2b	0.307454657560737
Vdac3	0.145897682865888
Psma6	0.0422038074547804
Rab12	0.502598369801321
Rpl41	0.107180386189149
Rpl23a	0.0930561835944005
Fsd2	0.0460374612364388
Oat	0.212099048855186
Psmb6	0.089432222336322
Ky	0.315523575425345
Lrrc20	0.246316631586085
Eif5a	0.13995676754021
Dmpk	0.0955472166193729
Ndufs8	0.0618977875170143
Rab10	0.0831028343518578
Mlf2	0.20164918193296
Mapkapk2	0.184796570716796
Rpl18	0.0495350533987847
Gstm1	0.482089292475
Asb11	0.460530963417071
B2m	0.111868667332621
Bola3	7.50620570010628e-05
Pacsin3	0.0601750755487905
Ehbp1l1	0.00556153798288162
Mrps21	0.161836252813221
Scn4a	0.141847999975004
Ppp1r3c	0.755066448795168
Ppp1ca	0.0739858692380137
Ddit4l	0.201703876803019
Ctdnep1	0.0250927144291666
Psmc3	0.0528429293953823
Tob1	0.153421453329204
Nr4a1	0.52982916399086
Samm50	0.163068890696046
Anxa6	0.0870863059052647
Slc16a3	0.612255365226811
Shisa4	0.123568956070729
Psmb4	0.0684316242828256
Eif4g2	0.0367971728211223
Acot13	0.0802990080485058
Art3	0.368294650615513
Cystm1	0.157791591706394
Ilrun	0.0966107785147566
Gmpr	0.223547588248751
Edf1	0.0928756616276969
Pbxip1	0.0601858364317684
Acsl1	0.382816768538575
Acaa2	0.459510570949624
Eef1a1	0.11513993901294
Rpl37a	0.0819753370614019
Rps3	0.0997274381086549
Srpr	0.202535897841445
Tmem182	0.00462334154244243
Dynll2	0.0843002436915068
4833439L19Rik	0.120453325325721
Prdx2	0.378387718658454
Smdt1	0.00881487839923283
Prr33	0.287708349668788
Hadh	0.251386135398866
Hadhb	0.359101640911837
Myoz3	0.0603146307343589
Mrln	0.376234912800578
Cap2	0.063034612833091
Mrpl12	0.182110092391114
Rpsa	0.00522220002170057
Smyd2	0.606173803735893
Aamdc	0.0906242368350468
3425401B19Rik	0.0321890606854925
Ftl1	0.265646998940275
Fastk	0.0727672472912175
Rps27l	0.149075405050789
Ndufs4	0.127925995086375
Twf2	0.440196874804652
Atcayos	0.117387897036859
Pdlim7	0.19057694276917
Prkag3	0.483902002601545
Gaa	0.350293554009161
Cul3	0.279350246576825
Dbi	0.0306747754640926
Dnajb5	0.422673761534775
H1f2	0.122821522243502
Bckdha	0.117220232597983
Psmc5	0.0649269706174367
Aimp2	0.0389765849209849
Pfn2	0.324440504647859
Tmem147	0.148819740939147
Gabarap	0.0539254188781185
Myl12a	0.521627286995268
Fermt2	0.0610711047504004
Psmd7	0.100807558264305
Swi5	0.0702699982104179
Rpl23	0.188047485265227
Psmd4	0.107320598787202
Bag1	0.0645696962860853
Rnf10	0.144123327631134
Cox17	0.0130006611442569
Snta1	0.193603993263372
Rilpl1	0.519302040295156
Snrpb	0.124023395857989
Atf4	0.282633327616507
Gng5	0.243089021270855
D8Ertd738e	0.0703377392753208
Fmod	0.304528424911995
Mef2c	0.129848959942065
Chchd1	0.0100042730207382
Eif4a2	0.0593387657953615
Mapk12	0.000296479687909557
Rpl18a	0.163739794241014
Rab2a	0.36316407478316
Adipor1	0.231165195323904
Nr1d1	0.14591714717732
Rps27a	0.00862028425750095
Obscn	0.0243329764835462
Psmd6	0.0806787060880533
Smarcd3	0.196352369366172
Rpl6	0.130268933487304
Hibadh	0.0277341992396227
Ywhag	0.142416096746965
Tmbim6	0.126421549031214
Flnc	0.443184053934052
2610507B11Rik	0.013190712425796
Nedd4	0.00421521619251769
Paip2	0.0546271224370939
Phospho1	0.129661582195649
Tbx15	0.21245816877471
Grina	0.185844272747965
Arf1	0.155826160140852
Map7d1	0.0823248253540194
Dcaf8	0.175475907899995
Naca	0.0409019627228965
Nap1l4	0.0262116111112083
Myl6	0.191603762076981
Mpc1	0.178595231981888
Mypn	0.101786342014391
Rpl24	0.182730823040234
Mrpl33	0.0635859887412203
Timm17a	0.0243043786820718
Egln1	0.0606730781514611
Psmb1	0.0307893094651861
Spop	0.197606744535236
Rps23	0.115053438970001
Zcrb1	0.224959061259581
Saraf	0.138728254038917
Tmem126a	0.100087435075298
Plpp7	0.405696848812338
Mettl21c	0.470352282402872
Cacng6	0.159894067998069
Mtfr1l	0.05385625675673
Psmd2	0.012851510202055
Jph1	0.309648591158163
Bod1	0.125005370093427
Ankrd40	0.0741039294009587
Srp14	0.0621881907934307
Pfdn5	0.0654790098086351
Rnf11	0.339291035117392
Pnpla2	0.260599994636669
Etfdh	0.371663761538786
Pomp	0.0578908268306586
Arl6ip5	0.258015393163077
Rpl37	0.140426572506236
Phlda3	0.0427898629536741
Gpcpd1	0.469670888142504
Cd36	0.381495645364418
Nrep	0.180061386574017
Ivd	0.106134925101383
Dnaja2	0.302608442953731
Anapc13	0.170366737055811
Dcaf11	0.0829372244336743
Coro6	0.399391121790889
Rpl35	0.138840868244042
Ahsa1	0.126855443050277
Vcp	0.0217033389869423
Rpl13	0.104871822329339
Fbxo40	0.115439428232645
Gpt2	0.427439975916084
Ipo13	0.0734753426436012
Ppp3cb	0.452019123075546
E2f6	0.0705850206401766
Eci1	0.099996262823893
Nmrk2	0.361672579994952
Gpc1	0.0311887547801329
Ndufa7	0.106903230774217
Eif3i	0.179139974104541
Bloc1s1	0.0566283965300085
Epn1	0.0954686638118408
Nfic	0.0750412998982265
Hspb7	1.90601763674593
Amotl1	0.13245804894205
Plaat3	0.23788510195359
Bnip3	0.0851141620045537
Lrrc30	0.668481679951704
Cox14	0.0632308159064529
Dcaf6	0.177144315345698
Golga4	0.0865703916112702
Mknk2	0.0926835097355112
Trim72	0.280876725693127
Trap1	0.183716479554482
Isca1	0.197285329966884
Itm2a	0.161757607173264
Tubb4b	0.0709553110605237
Eif3e	0.230989228211305
Kcmf1	0.238014736377827
Hsbp1	0.157196754454148
Mat2a	0.0450606019488431
Cavin4	0.158679518869417
Rac1	0.163790211604568
St3gal6	0.328083799368048
Rbm38	0.204879920075409
Stim1	0.0946844314615856
Mir3064	0.175924063444691
Slc44a2	0.114875480445763
Mmadhc	0.084498537522718
Rabac1	0.0834384186829941
Setd7	0.319642955434242
Fhl3	0.0122918216169918
Echs1	0.000139223906840874
Map1lc3b	0.190374009285346
Serinc1	0.141062836282813
Commd3	0.101869263797086
Asb14	0.483974464505138
Nedd8	0.0234538465198076
Lmod3	0.277632681604588
Ss18l2	0.0770001447805925
Cfd	0.246384503057937
Col1a2	0.0932883242387261
Cct5	0.0459584218866493
Atp6v1e1	0.0647677827914474
Tef	0.316490239099028
Dusp13	0.355652381264867
Tmem256	0.0858666869990079
Arpc5l	0.228142045164065
Naa50	0.13977045467387
Vapa	0.318669907151109
Ctnnb1	0.0268994729995856
Lpin1	0.34300153832739
Fundc2	0.173132324542188
Perm1	0.0378455166102351
Thoc7	0.193261886461876
Aplp2	0.012392859245604
Pfdn1	0.245311462362592
Rpl36a	0.188370683467258
Gnpat	0.0962771603709333
Ctsb	0.0611187624359058
Phpt1	0.0994241694232042
Ube2d3	0.153288428728389
Serpine2	0.232174294293033
Psmc6	0.0235335383078904
Fem1a	0.0923372083930223
Atp6v1g1	0.287764519958185
P4hb	0.0391615170070122
Hspd1	0.09346031503711
Eepd1	0.276774461680615
Smim10l1	0.346581879298582
Ctbp1	0.0851917496651038
Ppp3r1	0.26527399217489
Eif3f	0.225933389132997
Psmb2	0.103296999495816
Pdrg1	0.0410078460523266
Cacna2d1	0.276779320987905
Polr2m	0.0437402201995782
Rab7	0.313933013285714
Yipf7	0.118382849276374
Pmpca	0.171439746276761
Rhoq	0.157743763586242
Sdr39u1	0.0335119684283047
Psmc2	0.108686130253085
Calr	0.104359711913041
Eif3h	0.115473614418684
Acat1	0.0383736760538462
Psma2	0.0601190844096185
Ppia	0.190371954459202
Sparcl1	0.249805409527766
Cops5	0.0774734176675555
Rnasek	0.121180179125405
Mrpl54	0.0418760040296343
Ssr3	0.201339981416471
Gpx4	0.10153033401656
