Gene Name	g8_g7.log2foldchange
NUB1	0.8
PGM3	0.2
RWDD2A	0.6
CLK1	1.7
POLR3B	1
ANGEL1	0.4
RNF14	0.2
DNASE1L1	0.2
DDX11	0.7
HEBP1	0.5
GPRC5A	3.3
MAMLD1	0.5
CD6	0.7
TACC3	0.9
UFL1	0.1
POLA2	0.9
ZC3H3	0.2
CAPN1	0.2
ACPP	0.2
MDH1	0.9
SLC30A9	0.6
MTMR11	2.2
COX15	0.3
CCDC88C	0.7
YAF2	0
ZMYND11	0.4
WAS	0.1
DPEP1	1.5
BID	0.6
MATR3	0.7
NPC1L1	1.6
XYLT2	0.8
RGPD5	0
STMN4	2.6
NUDCD3	0.2
ISL1	0
CHDH	1.3
IL20RA	1.6
CLCA1	2
CLCA4	1.6
GLT8D1	0.9
ATP2C1	0.5
IGF1	4
SLC38A5	2.1
RALBP1	0.4
RUFY3	0.3
CNTN1	3.1
SLC11A1	0.3
WWTR1	0.3
AGPS	1.2
ZNF806	0
CXorf56	0.1
ATP1A2	0.9
TTC27	0.3
ZNF582	0.3
VSIG2	1.7
PHLDB1	1.2
MARCO	1.7
CYP24A1	2.4
PRDM11	1.9
SYT13	2.2
SNAI2	1.8
CD74	1.6
HGF	2.9
ZRANB1	0.5
NCDN	0.6
ADGRA2	1.1
CCT8L1P	0
ZFP64	0.6
MNAT1	0.6
SAMD4A	0.5
RUNX3	0.1
MRE11	0.2
PLEKHB1	0.4
SERPINB1	0.2
CYP3A43	2.3
SLC7A9	1.3
SPAST	0.3
NRXN3	4.3
OSBPL5	1.5
AQR	0.2
CPS1	3
C8B	2.1
FHL1	2.1
RTF2	0.5
GABRA1	2.4
NLRP2	0.6
SLC45A4	0.3
RNF10	0.1
ZNF839	0.8
ZDHHC6	0
GRAMD1B	1
RNH1	0.2
NDUFS1	0.9
RB1CC1	0.6
ERP44	0.9
ALAS1	1.3
BIRC3	1.6
AKAP11	0.1
GLRX2	1.1
SNAPC1	0.9
DERA	1
STRAP	1
ABCC2	0.2
DEF6	1.2
PLEKHO1	0.6
GCLM	1.2
UBR2	0.4
EHD2	2.4
DEPDC1	2.9
CCDC28A	0
RRAGD	3.3
HSF2	0.5
PHF20	0.7
HSD17B6	1.3
NR1H3	0.4
TYMP	0.7
NCAPH2	0.2
TOMM34	0.7
SEC63	0.3
KPNA6	0.3
VIM	1.1
RTEL1-TNFRSF6B	0.9
FAS	2
RNASET2	1.4
CD44	0.4
KCNG1	3
AGPAT4	0.5
SLAMF7	2.2
BTN3A1	1.3
MIPEP	1
PRKCH	0.4
INSRR	2.9
IFNGR1	0.8
B4GALT7	0.5
SH2D2A	0.7
VRK2	0.9
TNFRSF1B	0.6
VEZT	0.2
POU2F2	1
BRD9	0.3
SNX1	0.1
TBPL1	0.2
ARNTL2	3.3
BCLAF1	0.6
SLC39A9	0.5
ANK1	0.6
IBSP	0
TFB1M	0.3
RABEP1	0.2
HMGB3	2.6
NUP160	0.1
BAK1	0.9
MUSK	2.5
IKZF2	2.2
GRN	0.3
FAM13B	0.5
ARHGAP31	0.5
CENPQ	1
SARS1	0.5
RANBP3	0.1
ARID4A	1.1
EIPR1	0.5
PNPLA6	0.4
IFT88	0.5
ALG1	0.6
ZCCHC8	0.1
ABCF2	0.8
CHPF2	0.3
LRRC7	1.4
FUT8	0.1
UBA6	0
GAB2	1
ATP6V0A1	0.6
PIAS1	0.3
SLC4A7	1.2
APBA2	1.4
MAP2K3	0.4
EFCAB1	2.8
TMSB10	1
ASTE1	0.6
RNF19A	0.2
PEX3	0.5
GABARAPL2	0.9
MYOC	0
SH3YL1	0.8
FAM136A	0.8
VCL	0.9
DEPDC1B	3.2
DAPK2	0.6
NSMAF	0.1
ADSS2	1
STAP1	0.1
TIMP2	0.3
RFC1	0.7
TBC1D23	0
CUL3	0.3
MYOM2	0.9
OTC	0
CYP46A1	2.8
AC118549.1	0
SLC18A1	2.9
USP2	0.9
CASR	0.9
TUBG2	0.7
RPL26L1	1.7
FLT4	2.3
NSUN2	0.2
FBXO42	0.4
MFAP3	0.7
MRI1	0.4
METTL1	0.7
HOXC8	1.4
AGA	0
PI4K2B	1.9
BOD1L1	1.2
MAT2B	0.1
TLL1	2.1
EDC4	0.2
TRIO	1
VCAN	1.2
CLEC16A	0.4
MSR1	3.3
CDH1	3.4
MTREX	0.2
DNAH5	4.8
ZFYVE16	0.4
RIPOR1	1.4
C6	3.4
RAI14	2.2
SOX30	1
PNKP	0.9
BEST2	1.6
PHLPP2	0.7
SPDL1	1.4
STAU2	0.7
SLC66A1	1.1
CTNS	0.1
RTN4R	1.5
PHF23	0.4
CDH10	1.6
INPP4A	1.8
RAB27B	1.8
PSMA4	1.5
MYO16	0.8
LSG1	0.2
PARP3	0.7
TNC	2.3
THAP3	0.2
RIPOR3	2.4
TDP1	0.4
AIFM2	1.4
C2orf83	2.1
AL049834.1	0.8
MED17	0.2
RETSAT	0.5
CAPG	0.4
AP2S1	1.2
USH2A	4.7
ZPBP	1.4
TG	0.7
ADAM28	4.9
BARX2	2.3
DCUN1D1	0.7
JADE2	0.9
ZIC2	1.4
LCP2	0.3
TRIT1	0.5
ADRB1	0.1
GUCA2B	0
CUL7	0.5
CTNNA1	0.9
PHKA2	0.7
CNTLN	1.7
EPHA3	2.7
HSPA5	0.9
DSG2	3.1
GEMIN8	0.6
OFD1	0.9
GPM6B	0.2
MAGEC2	0
PREX2	3.2
WDR37	0.8
YTHDC2	0.5
CTPS2	0.8
ATP6V1H	0.5
POLR2B	0.4
FAM214A	1.2
ARAP2	0.6
TPR	0.1
CP	0.5
KIAA0556	0.7
DTNBP1	1
XK	0
ANO2	0.8
C12orf4	0.1
SCML1	0.2
WWC3	1.3
ARHGAP6	0.9
FAM184B	0
MAP4	0.7
GOPC	0
ROS1	3.4
USP28	0.1
HDAC9	0.9
TSPAN17	0.1
NOP16	1.2
CC2D2A	0.2
RRM2B	0.1
ZNF800	0.6
TNFRSF17	2.5
SNX29	1.6
LMO3	0.7
MRPS10	0.8
GUCA1A	0
RSF1	0.3
VPS13D	1
CELF2	0.1
FAM120A	0.2
R3HDM1	0.7
