Gene Name	g8_g7.log2foldchange
SSX5	0
SSX3	0
OTX2	2.1
FAAH2	1.2
DRGX	1.8
NUDT5	1.6
DACT1	0.4
OXGR1	0
UCMA	0
BEND7	0.9
ATP5F1C	1.2
PRPF18	0.4
TAF3	0.5
VSTM4	2.2
VDAC2	1
SOHLH1	1.5
COMTD1	1.7
SLC18A2	0.9
PDZD8	0.6
ZNF503	0
ABRAXAS2	0.2
QSOX2	1
FAM204A	0.1
NSD1	0.8
PRDX3	2.1
ENOX2	0.1
GHITM	1
CLEC1B	2.2
SNAPC4	0.1
TMEM52B	2.2
PMPCA	0.4
ENTR1	0.7
FRMD7	0
AK8	1.8
SPACA9	0.2
TSC1	0.7
GFI1B	0.6
HPRT1	1.5
BORCS5	0.1
DIPK1B	2
ZMYND19	0.8
STOX1	0.2
RET	2.6
DDX21	0.3
BMS1	0.2
STK32C	1.2
JCAD	1
OR4K2	2.6
FUNDC2	0.2
PIP4P1	0.7
METTL17	0
SLC39A2	1.2
NDRG2	0.8
RNASE7	0
ARHGEF40	0.2
NSMF	0.4
ZNF219	1
C12orf50	2.4
CASP7	0.8
PPP1R36	1.5
BTNL9	1.1
CCDC186	0.3
VWA2	1.6
METTL3	0.1
SALL2	2.2
PRAP1	0.8
TRUB1	0.5
ERICH6B	0.5
CYP2C19	0
ZFYVE1	0.5
C10orf82	0
HSPA12A	0.4
SHLD2P1	0
FRAT1	0.9
UBTD1	0.3
ANKRD2	0
E2F7	3.2
ARHGAP42	0.8
ISCA2	1.2
OTOGL	1.2
LARGE2	4.6
PACSIN3	2.6
TTC7B	2.1
SLC39A13	0.7
PSMC3	0.9
RAPSN	0.7
AGBL2	0.5
TC2N	0.6
CPSF2	1
SMCO2	1.7
MOAP1	1
IFI27L1	1.7
IFI27	3.9
SERPINA12	1.5
CLMN	0.1
PDZRN4	2.4
SLC6A5	2
CCDC38	1.6
NELL1	3.1
PTER	0.2
C1QL3	0.3
CACNB2	0.1
HACD1	1.3
ARL5B	0.4
SMCO4	1.9
CEP295	0.1
KCNC2	1.6
TRIM51HP	0
TAF1D	0.1
TRIM53BP	0
ABTB2	0.9
R3HCC1L	0.3
AMOTL1	1.6
HTRA1	1.9
LIPC	2
CEP57	0.1
TCP11L2	1.9
PASD1	0
SPRED1	0.1
TMCO5A	3
GPR176	1.2
JAM3	1
IL25	0
CMTM5	1.5
AC126323.1	2.3
GLB1L3	3.3
ADAMTS15	2.1
SVOP	0.8
SPATA19	0
GPT2	0.9
AMN	0.5
RAB8B	0.2
IKBIP	1.1
RPUSD2	1.1
HIF1AN	0.2
NDUFB8	0.4
ZFYVE19	0.5
PPP1R14D	0
SPINT1	0.3
FBN1	2.6
AVPR1A	2.2
C16orf78	0
DEPDC4	1.5
LRTM2	2.8
OPN1MW2	0
BRD7	0.2
CKB	1.2
TRMT61A	0.3
BTRC	0.1
POLL	0.1
BAG5	0.2
DPCD	0.3
LARP6	2.5
API5	0.6
ASPG	1.5
ZNF319	0.4
HPS6	0.9
SENP8	0.8
NOLC1	0.7
ALKBH3	0.8
COPS2	0.7
GABRB3	2.7
SPIC	0
TBATA	2
SGPL1	0.4
FRS2	0.8
CCT2	0.6
PCBD1	1.9
ARIH1	0.1
C16orf71	0
CLMP	0.3
SCN3B	1.6
COX11	0
ZNF202	0.5
FAM227B	0
STXBP4	0.6
CYYR1	1.3
CUL5	0
MYRFL	1.9
WBP1L	0.5
BORCS7	0.3
C2	0.3
PLEKHF1	0
TMEM100	1.7
ANAPC16	0.3
SMPD1	1
APBB1	1.3
SYNPO2L	2.8
NUDT13	0.4
C11orf65	0.7
TRIM44	0.2
CCDC182	0
ILK	0.5
TAF10	1.1
TPP1	1
DCHS1	0.3
NETO1	0.6
MSS51	0.5
CYB5A	0.4
USP54	0.2
RAG1	1.8
POTED	0
C11orf74	2.3
WDR88	0.1
OR10A5	0
OR2D2	0
ATP9B	0.7
PPFIBP2	0.2
MOGAT2	2
CYB5R2	0.1
SERPINB7	1.7
KIAA0355	1.8
SERPINB8	0.4
TUB	1.2
RIC3	1.4
LMO1	0
OR5P1P	0
IDH3A	1.4
WDR72	3.1
CRABP1	0
PLD4	0.8
ZMAT1	2.4
XRRA1	0.6
TRIM66	0.1
RNF169	1
RPL27A	0.5
DENND2B	0.4
CDYL2	0.1
TMEM130	1.3
PRTG	1
CENPN	1.8
AKIP1	1.5
ATMIN	0.3
C16orf46	0.1
TMEM41B	0.5
PKD1L2	4.4
LEO1	0.7
ZNF143	0.3
TMX3	0.2
MFAP4	1.5
WEE1	0.3
MAPK7	0.4
FAM86GP	0
PRKCB	0.2
HDGFL3	2.5
NDST2	0.9
MCM7	1.1
CLEC3A	1.7
CCDC68	2.5
CLEC4E	1.8
ZNF3	0.3
CLEC4D	0
ZSCAN21	0.4
HSBP1P2	0
RIMKLB	0.5
A2ML1	2.3
BEAN1	0.9
TK2	0.8
TMED3	0.8
SLC38A8	1.8
SEC11C	1.2
CPLX4	1.9
GALR1	0.8
TMEM135	1.2
IQCD	1.4
NDEL1	0.1
CENPV	0.4
CDH16	2.6
RRAD	1.2
CIAO2B	0.6
CFAP52	2.5
HSP90B1	1.7
MC4R	0
BLCAP	0
SERPINB12	0
CHRFAM7A	0
ATF7IP2	1.1
MMP10	0
TVP23A	1.8
BEX3	0
TMPRSS5	0
COG1	0.3
PLEKHA7	1.1
OR5M13P	0
ZNF606	0.3
ZCCHC18	1.4
B2M	0.5
ZNF592	0.8
CASC4	0.6
HTR3A	4.8
NNMT	1.1
ACSM1	1.4
AP1G1	0.2
SLFN5	2.2
CATSPER2	1.2
STRCP1	0.6
ZNF667-AS1	1.2
BMERB1	1.4
MARF1	1.4
SAA3P	0
SAAL1	0.5
YPEL4	1.3
PPIB	1.6
LDHC	1.4
CIAO2A	1
LDHAL6A	0.9
FAM111A	0.7
PCLAF	2.8
KIF7	1.7
LDHD	1
PLIN1	0.9
PEX11A	1
TMEM170A	0
MESP1	1.1
ANPEP	1.6
SCNN1G	2.3
RBPMS2	4.3
NAV2	2.9
ANKDD1A	0.3
GLYATL1	0.2
C18orf54	1
DCTN5	0.3
TERF2IP	0
PLK1	3.4
CLPX	0.3
GPR182	0.5
ZBTB39	0.1
CACNG2	0
TAC3	0.5
MYO1A	1
CHP2	1.4
NEMP1	0.3
OR4D6	0
NAB2	0.4
VPS39	0.7
STAT6	0.9
PATL1	0.2
ATP23	1.5
ELFN2	0.2
STX3	0.9
MRPL16	1.3
PIP4K2C	0.2
MTMR10	0.7
YWHAB	0.3
MIR202HG	0
C15orf48	0.3
SCG5	1.4
GREM1	3.1
NYAP1	1.6
TSC22D4	0.3
MS4A6E	2
MS4A7	1.8
MS4A14	1.9
MS4A5	0.5
DIS3L	0.2
CCNDBP1	0.2
EPB42	0.3
TGM6	1.1
SMAD3	1.1
MS4A8	2.7
CCDC178	2
MS4A15	1
MAP1A	1
RCCD1	0.8
AKTIP	0.3
MAPRE2	0.8
EVA1C	1.5
TCP10L2	1.2
MARS1	0.2
MBD6	1.1
CNPY4	0.4
PDIA3	1.5
NUDT21	0.8
NAT16	2.5
TERB2	0
NKX3-1	0.3
SGSM1	1
AL357033.1	0.7
DUSP18	0
TEF	1
MEI1	0.1
B4GALNT2	0.7
PBX3	1.8
GNGT2	0.8
PHB	1.1
SNRPD1	1.5
TTC16	2.1
SUN5	0
SAMD14	0.3
PIP5KL1	0.1
BPIFB6	1.6
TMEM92	2.1
FAM102A	1.9
ACSF2	0.4
GOLGA2	0.3
TRUB2	0.6
COQ4	0.3
SLC27A4	0.6
ANKRD40CL	1.7
URM1	0.4
CERCAM	0.7
DOLPP1	0.6
CCDC103	0
ENDOG	1.2
TBC1D21	0
PRRX2	0
UGT1A6	0
C15orf39	1.5
ISLR2	2.7
SP2	0.6
PRR15L	0.1
COQ7	0.9
GPRC5B	2
CRK	0
C16orf92	0
GOLGA6C	0
FBXO22	1.2
TBC1D2B	1
NOD2	2.4
SNX20	0.2
LOXHD1	0.9
KATNAL2	0.3
HDHD2	0.5
ZNF91	0.4
IGF2	0
RNF214	0.2
CDK12	0.4
DPEP2	2.8
DUS2	1
POP5	0.7
ENGASE	1.1
RBFOX3	0.2
ATP5MG	1.1
CD3D	0.9
TBC1D16	2
TEPSIN	1
MYO5B	2.3
ART5	0
ACAA2	1.2
STIM1	0.3
RRM1	1.5
OR51E2	2
TRIM68	0.2
MMP26	0
OR51B5	1.5
OR51I1	0
OR51Q1	0
FN3K	0.1
PRRT2	0.4
ZNF23	0.1
IRGQ	0
ZNF226	0.2
ZNF180	0.3
POM121L3P	0
PPP2R3B	0.2
ZNF668	0.5
ZNF646	0.5
VKORC1	0.8
GNG8	0.5
LPO	3.3
CA4	2
SMG8	0.7
LINC00905	0
TPM4	0.9
RAB8A	0.4
GPX4	0.7
MIDN	0.9
JSRP1	0.4
NIBAN3	1.7
KLHL26	0.1
GATAD2A	0.6
NOS2P2	0
MVD	0.7
CDT1	2.5
TRAPPC2L	0.7
ANKRD11	0.7
SPATA33	0.6
RSKR	0.5
PROCA1	1
RPL13	0.2
ZNF641	1
LALBA	0
CACNB3	1.9
DHRS13	0.1
TP53I13	1.9
KMT2D	1.4
CORO6	1.6
RHEBL1	0.8
TUBA1A	1.1
TUBA1C	2
ZNF610	0.2
ZNF528	1.5
ZNF701	0.3
SERTAD3	0.6
NCKAP5L	0.2
RAB4B	0.6
AQP2	2.2
GPD1	0
PROSER3	0.4
CYP2S1	2.1
AXL	0.3
NFKBID	1.1
TMC4	0.5
ANKRD33	1.6
LAIR1	4.1
TTYH1	0.5
LENG8	1.1
CDC42EP5	0
LAIR2	0
TMEM145	1.7
ZNF526	0.3
TRAPPC9	0.4
KIR3DL1	0
NLRP7	2.4
ZNF146	0.3
ZNF283	0.1
PPP1R14A	1.3
SPINT2	1.3
C19orf33	0
YIF1B	0.7
DNAAF3	0
PSCA	0
ATCAY	2.4
LY6D	0
DAPK3	0.5
EEF2	0.2
TMIGD2	0.6
CHAF1A	1.4
UBXN6	0
HDGFL2	0.7
PLIN4	0.6
SEMA6B	1.8
ZNF444	0.3
NXN	1
TLCD3A	1.4
GLOD4	0.2
MFSD3	0.7
GPT	0.7
KIFC2	0.6
SLC43A2	1.2
RILP	3.1
SERPINF2	0.5
WDR81	0.5
SRR	1
TSR1	0.6
TRPV3	0.6
HSD11B1L	0.2
CYB5D2	0.1
GGT6	1.5
C19orf48	1.6
KLK1	2.2
KLK4	1.2
KLK2	0.4
KLK5	0
KLK6	0
KLK11	1.7
KLK13	2.3
ZNF83	1
KRT80	1.5
KRT1	2.3
ACER1	0
OTUB1	0.4
RCOR2	0.8
ANGPTL4	0.3
AC010323.1	0
CD320	0.9
SPRYD3	0.1
IGFBP6	0
SOAT2	2.2
ZNF558	0.1
CABP2	0
NDUFV1	0.6
CDK2AP2	0.4
C3P1	3.1
NUDT8	1.3
TBX10	0.2
AC011511.1	0
PRDX2	1.5
OR8J3	0
OR5I1	0
ZNF232	0.3
MIS12	0.6
CD300C	2.3
CD300A	2.7
TEKT1	1.2
HID1	2.5
MRPL58	1.4
ATP5PD	1
TMEM88	1.3
EVPL	1.9
SRP68	0.5
MGAT5B	1.2
TMC8	1.2
TK1	2.4
TMEM68	0.5
CYP7A1	1.9
AC090152.1	0.5
GSDMA	1.2
KRT24	0
TMEM99	1.3
GHDC	0.7
FAM234A	0.4
SOST	0
ZNF598	0.3
RAB26	0.2
MLST8	0.7
E4F1	0.5
DNASE1L2	0.5
ECI1	1.4
CASKIN1	0.9
ABCA3	0.7
KCTD5	0.2
SRRM2	0.8
ZNF597	0.1
NLRC3	1.4
SDHAF2	0.6
DDB1	0.5
VPS37C	0.4
VWCE	0.9
RAB3IL1	1.8
BEST1	0.3
FTH1	1.1
BSCL2	0
POLR2G	0.2
SLC3A2	0.5
PLAAT5	1.6
SPINDOC	1.1
ATG16L2	1.1
C2CD3	0.8
TRANK1	0.7
TTC21A	1.8
RPSA	0.6
ENTPD3	0.3
CTNNB1	0.2
ULK4	1.1
FADD	1.2
LTBP3	1
NAALADL1	0.9
SAC3D1	1.6
BATF2	0.2
SLC22A11	2.5
SF1	0.6
MAP4K2	0.2
MAJIN	0
CCDC88B	1.1
SCARA3	0.4
PBK	3.3
SCARA5	2.5
PNOC	0.3
COPS6	0.3
PAFAH1B2	0.1
ANKS3	0.4
NUDT16L1	0.2
KIAA1586	0.4
RAB4A	0.8
ZNF355P	0
OR1F1	0
OR2W6P	0
DHFRP3	0
OR2B2	0
KCNJ4	0
SETD5	0.5
VASN	0.2
FAM83B	1.8
H3-4	0
THAP9	0.9
OR2C1	0.6
RNF187	0.4
HOOK3	0.1
MAPK1IP1L	0.1
DDIT4	0.4
RBPJ	0.3
LMBRD1	1
ZCCHC4	0.1
PTGDR	0.8
TTC39C	0.9
GLYCTK	0.5
GNG4	1.5
UBTD2	1.1
POLR2J3	0.1
NKIRAS2	0.3
DNAJC7	0.3
KCNV2	0.3
IRF2BP2	0
PTF1A	0
NT5DC2	2.1
FOXI1	0.4
SMIM4	1
COA6	1.3
KIF5C	0.2
MGAT2	1
BMI1	0.2
THAP11	0.4
MMADHC	0.7
PDHB	0.3
PXK	2.2
H1-4	0.1
PCMTD1	0.8
KCTD6	0.1
MPLKIP	0.8
ACOX2	2.7
FAM107A	2.5
IRF2	0.1
MOBP	3.3
CX3CR1	0.6
PPDPFL	0
XIRP1	2.4
INSM2	0
DEGS2	1.4
SCN11A	1.8
LINC00917	2.1
ARF4	1.2
SEPTIN2	0.7
FILIP1L	0
MFSD2A	0
DTYMK	1.7
TAP1	0.6
ING5	0.3
ATG4B	0.3
BDKRB2	2.3
MLKL	0
CMAHP	1.2
RFWD3	0.5
MTNR1A	0
KCNG4	3.1
RHOH	1
KLHL30	1.3
COG7	0.1
CDC40	0.2
STIP1	0.7
SCNN1B	1.8
HR	3.3
TXNDC2	1
RAB31	0.7
REEP4	1
TNXB	0.2
LGI3	0.7
SFTPC	1.5
BMP1	0.8
ATXN2L	0.2
PHYHIP	2.1
CCDC110	1.3
POLR3D	0.3
FEN1	2.1
CAVIN2	0
MTCL1	2.7
GBX2	0
HJV	0.9
SCGB1D1	0
HEXIM2	0.5
FNTA	0.1
SERINC2	0.8
MYL1	0
TRAPPC11	0.1
CHRM1	1.5
COL3A1	3.7
GFRA2	1.8
ING2	0.1
CDKN2AIP	0.1
SNRNP48	0.1
TMEM223	0.4
SLC20A2	0.2
CRYGA	0
DYNLRB2	0
TMUB2	0.8
ADAM29	1
STAT3	0.4
ZSWIM1	0.1
ADAM9	2.4
ADAM18	1.7
GDNF	2
SPINT5P	0
MUCL3	2.5
WFDC13	0
AXIN2	0.2
NDUFS5	1.3
VWA3B	1.2
ZNF30	0.1
UGT3A2	2.4
LRATD2	0.1
LDLRAD4	1.6
KCTD19	1.5
SLC16A4	0.2
IL7R	0
TMEM208	1.2
LRP1B	4.5
WFDC12	0
AHCYL1	0.6
DNAJC21	0.3
PKIG	2.1
NPNT	2.5
LINC01620	1.9
CA7	0
FAM178B	2.4
TSPY2	0
SEMA4C	2.4
CNNM3	0.9
GSTM4	0.5
TET2	0.6
CXXC4	2.3
TCTN2	0.2
SHOX2	2.9
PPIP5K1	0.7
TSPAN5	0.2
ABHD15	1.7
ZBTB5	0.4
CHTF8	0.7
ADAL	1.2
LCMT2	0.6
SNTB2	1.1
IL12A	0.4
ZNF507	0.4
STX18	0.7
NSG1	1.2
ZBTB49	0.6
GFM1	0.9
OR13J1	0
HTR1E	0
FSTL5	2.1
TPTE2P5	0.5
DDX19A	0.1
ATOH8	2.2
SOX14	0
ANKRD49	0.4
SFTPB	1.2
USP39	0.5
TNIP2	0.1
C2orf68	0.2
TMEM150A	1.2
RNF181	0.9
VAMP5	1.4
BTNL3	1.2
LRRC28	0.6
MAT2A	0.7
PLA2G4F	0.7
ENHO	0
ZNF608	1.1
SLC35G2	1.2
INPP5D	1.4
LETM1	0.5
CTRB1	0
CTRB2	0
TRIM49	0
TMEM129	0.3
PPIC	0
SPRY3	0.9
CEP120	0.6
STXBP6	2.4
TM4SF20	1.3
MFF	0.4
GRM5	1.7
LGALS9	0.9
PMCHL1	0
JMJD7-PLA2G4B	1.3
OR7E102P	0
CPLX1	0
PXDC1	0.6
SIGLEC7	0.4
NTSR2	0
E2F6	0.3
FEM1B	0.2
COMMD8	0.8
ATP5ME	1.1
UQCRFS1	1.3
SLC49A3	0.6
COL4A3	0.8
MAP2K1	0.4
KLK7	1.3
PMCHL2	0
HNRNPH1	0.2
IRS1	1
MECP2	0.6
VCX3A	0
UPF3A	0.2
ZBBX	2.3
ACTBL2	0
ROR2	2.7
Z99496.1	0.9
AR	2.3
DHRSX	0.3
VXN	0
HSPBAP1	0.4
ASMTL	0.3
SLC25A6	0.9
CHST14	0
PARM1	1.1
CSNK1G1	0.1
FAM110B	1.6
ARMC4	2.9
AFAP1L2	1
ZNF354A	0.6
ATF5	0.8
UBE2V2	1
GOT1L1	0
ZBTB43	0.2
AL159987.1	0
CPT1C	1.4
PCSK9	2
XPO6	0.7
GSG1L	2.5
MN1	1.7
APEX2	0.6
NSMCE1	0.5
CCDC126	0.5
IL13	2
NPIPB12	0.7
OR10G3	1.8
RAB3B	3.9
OR6F1	0
CD2BP2	0.3
RSPO1	1.8
RGS14	0.1
TBC1D10B	0.3
LMAN2	0.9
GCSAML	1.8
RAB24	0.5
PRELID1	1.1
THBS3	0.2
CA5B	1.3
SLC50A1	0.2
EFNA1	1.3
CXCL10	1.3
NPIPB3	1.3
SH3TC2	0.8
CXCL11	0
ZRSR2	0.8
NMD3	0.6
ADRB2	0.2
AL669983.1	0
B3GALNT1	1.4
GPRIN1	1.2
HSPB3	0
KCNAB1	1.7
MRPL1	0.4
SHE	2.7
NR0B1	0
PGM2	0.5
STK32A	3.1
IL1RAPL1	1.4
P2RY12	0.4
C22orf15	0.9
GUSBP12	0
OR5AU1	2.7
MINAR1	0.6
PDILT	1.9
UMOD	2.3
GP2	2.5
SLC33A1	0.8
SNUPN	0.4
CRADD	0.5
SIN3A	0.3
ARL13B	0.2
RNASE2	0
ELSPBP1	0
RNASE3	0
PTK2	1.4
RSPH10B2	0
PTAFR	1.2
PTPN9	0.3
RNASE6	0.1
NPR1	3.6
KCNK9	0.7
CXCL8	0
SCN9A	3.1
RASSF6	1.1
COL22A1	4
SDC2	2
CD52	0.8
MMGT1	0.3
SPRR1B	0
SPRR1A	0
OR4K14	0
OR4K15	0
TM2D2	0.5
HTRA4	1.1
PLEKHA2	1.8
CLIC4	0.4
SLC38A11	1.9
GPR183	0.2
CRCT1	0
CCDC8	2.1
METTL15	0.2
ZNF280A	0
MUC15	0
CT55	0
ZEB2	3.3
GJB1	0
PCBP1	0.6
HINT1	1.2
DTWD2	0.2
VPREB1	2.2
CLIC3	3.8
INO80E	0.7
BNC1	1.7
DFFB	0.2
NFU1	0.6
ANTXR1	3
GKN1	0
CKAP2L	2.9
C15orf40	0.6
RAMAC	0.5
PROKR1	0
APLF	0.3
BOLA2B	0.1
RGPD8	0.3
HIC2	0.2
LUZP1	0.3
HEXD	1.2
BCRP6	0
BCRP2	0
DRD5	0
BUB1	2.6
SPNS1	0.5
LRRC45	0.9
CHRNA5	2.6
MT1B	0
CENPX	0.8
AGPAT2	0.3
ASPSCR1	0.1
GP9	0
FASN	1.8
CNBP	0.4
MT1E	2.6
ACTRT2	0
DUS1L	0.1
GPS1	0.5
RFNG	0.4
DCXR	0.6
ZNF32	0
LDB2	1.7
RAC3	1.1
NRG4	1.1
LIMS1	0.3
TMEM266	0.2
NLGN1	3.6
TAPT1	1
PRYP3	0
UGP2	0.2
TAS2R1	0
LINGO1	2.6
PRY	0
RBMY1F	0
PRY2	0
RBMY1HP	0
HNRNPF	0.7
BTD	0.2
CSGALNACT2	0.7
TACR3	1.7
GSX1	0
TSPY14P	0
PCDH7	3.3
ROBO1	1.4
ONECUT1	2.5
AVEN	1.5
P2RY1	1.4
CTNND2	3
TRIM56	0.1
MUC17	4.1
AHSP	0
WNT10B	1
CALML6	0.9
REPS2	0.4
MUC3A	4.2
SYAP1	0.4
ITGAM	0.3
PYDC1	0
TPST1	1.4
TM4SF4	1.4
TOR1AIP2	0.4
S100G	0
TM4SF1	1.5
OTUD3	0.3
OTUD7A	2.5
GUSB	0.3
BRD3	0.1
KLF13	0.3
FRMPD4	2.1
ZFPM2	3.3
ZNF764	0.1
HSFY2	0
ZNF747	0.3
ZNF768	0.1
TAS1R3	0.1
TMEM42	0.4
MAP3K2	0.7
PUSL1	0.7
SF3B5	1
ZNF35	1.2
TIGD4	1.4
IFFO2	0.1
NLGN2	0.6
MYO7B	2.5
CHD3	0.8
TMEM154	1.1
MYRIP	0.3
ALCAM	0.7
YWHAG	1.5
UBE2E3	0.6
CNTROB	0.2
TRAPPC1	0.6
ZPLD1	2.6
KCNAB3	1.3
SERPINA9	2.9
FAM153A	0.9
GPR37L1	0.3
SIMC1	0.2
TMEM192	0.1
AC106795.1	0.7
NSG2	2.6
SPDYE5	0.9
SERPINA6	0
ZNF778	0.1
NIPA1	0.7
FOXD4	0
GPR25	0
UBE2E1	1.5
HNRNPA3	0.8
SIK2	0.3
AL391987.1	0
RNF150	3.6
CCDC144A	2.4
AL512625.1	0.2
VGLL2	0
HOXD4	0
CHRNB1	1
HOXD12	0
GYPA	0.9
USP38	0.1
SLC16A5	0.1
NANP	1.4
ANKK1	0.6
ADRA1B	1.3
ADPRM	0.6
FABP6	0
PWWP2A	0.1
USP50	0.4
USP47	0.2
PDCD6IP	0.2
MRGPRX1	0
ZNF212	0
MRAP	0.2
FAM161A	1.3
ZNF282	0.7
GLB1	0.1
GON7	0.9
FAXDC2	0.4
CRTAP	0.5
HSPB2	0
C7orf33	0
CNGB3	2.1
SLN	0
ELP5	0.1
CMTM8	1.6
GABARAP	0.3
LGALS9B	0
STX8	0.4
CDK1	3.5
UBB	0.5
NFRKB	0.3
FABP4	0
FRMPD2	3.4
PRDM10	0.3
B3GNT2	1.7
FOS	7
TMED10	0.5
OR2A20P	0.4
SETMAR	0.7
SMAD1	3.3
CST5	0
CST2	0
EMX2	0
CST1	0
SP7	0.4
TCAF2	0.7
SEMA3E	2.8
LRRN2	1.7
SLC30A1	1.5
DCLK2	0
ZNF804A	0.7
AC091390.1	1.1
GPRC5C	0.7
TMEM182	0.1
VSTM2A	2.5
KRT8	1
KRT78	2
ADORA2B	1.8
SDR9C7	0
MGMT	0.2
METTL7B	1.6
AC021066.1	0
HARS1	0.4
NFXL1	0.8
KRT75	0
DENND5B	0.3
CD14	0.3
DNAJC18	0.3
KRT6C	0
RIOX1	0.8
SPATA24	1.2
RALGAPB	0.5
PYM1	1.2
MZB1	2.1
KRT4	2
SLC23A1	0.8
KRT74	2.4
NPAS2	3.8
KRT72	0
KISS1	0
LONRF2	2.8
NUDT9	0.3
HSD17B13	0.8
PA2G4	1.3
COX7B2	0
ELOVL6	4.4
KRT83	1.6
PFKFB3	2.6
TMC7	2.2
ARL6IP1	0.6
SERPINB9	0
SMAGP	1.2
IRX1	0
CDH2	1.7
IRX2	0
EMB	0.9
SIX2	0
DLGAP1	2.7
STAT2	0.2
NUDCD2	1.1
IRF2BP1	0.5
OR9K2	1.7
HSPA4	0.8
FOXA3	1.6
FAM71B	1.4
SLC26A5	1.3
COMMD5	0.3
SGCD	4.1
GTSF1	1.8
DPY19L2P2	1
ZNF16	0.6
ARMC10	0.2
RNF34	0.5
ACYP2	0.1
TRABD	0.5
ATF7	0.4
RASA4B	0
SOCS6	1
CAVIN4	1.2
OR10A3	1.5
ZNF296	1.3
OR5E1P	0
HOXB9	1.8
TTLL6	2.1
POLH	0.4
SYT9	0.9
KCNS3	1.3
RBMXL2	0
KIF5B	0.3
GPR37	0
AKAP13	0.7
TPD52L3	2
CDCA4	1.5
OR10A4	0
SDR16C5	1
DYDC1	0
OR10A2	2.8
CHCHD7	0.3
HTRA3	0
FOXN2	0.2
LMOD2	0.1
BFSP2	1.6
FSHR	2.1
CELP	0
USP32	0.5
CEL	1.3
PPM1D	0.1
GPR27	0
AC093323.1	0
PSG6	2.5
KBTBD2	0.9
RIOX2	0.8
TRIAP1	1.1
LILRP2	0
LSM3	1.1
KIAA0232	0.1
MTSS1	1.4
TMEM43	0.5
RNF139	0.6
RPS9	0.3
PLA2G1B	0
CYTL1	0
TSEN34	0.1
TRH	0
GSTA4	0.1
MSANTD4	1
NDUFA3	0.9
OSCAR	1.5
PAQR8	0.4
NUDT6	2
TPT1-AS1	0.6
OR7G3	0
TANC2	0.1
OR7G2	1.7
TEX13B	0
PKHD1	4.5
OR1M1	1.5
NCBP2L	0
DNAJC24	0.1
MBD3L1	0
ZNF160	0.8
PGK2	0
OR8B12	0
ZNF415	1
CAVIN3	0
CEACAM3	1.7
DCDC1	4
HAS2	1.1
PDGFD	0.4
PLAC1	0
DDI1	0.3
LINC00208	0
S1PR1	0.4
HS6ST2	0
OR4D5	0
PYGO1	2.8
LRRC8E	0
PKIA	0.2
XKR6	0.1
TSNARE1	0.8
FPR2	1.1
FPR1	0.5
PATE1	1.5
OR13H1	0
FEZ2	0.4
SOX7	0.3
C8orf74	2.7
C11orf24	0.1
FAM86JP	1.2
ALK	1.4
KYAT1	0.1
MTM1	0.4
SIGLEC17P	1.5
OBP2B	0
TRMT61B	0.1
INSR	3.6
MFN1	0
GIMAP8	3.4
HSFX1	0
NRTN	0
KCNMB3	0.3
FUT3	2
KCNG3	0
ATP6V0E2	1
PRKCE	1.3
OR2K2	0
JAGN1	1.2
RLN3	0
TADA3	0.2
SOCS5	0.7
C1GALT1C1	1.1
C9orf16	0.2
MORN4	1.2
ZNF672	0.4
ZNF692	0.5
NAIF1	0.4
RBKS	1.8
OR2M4	2.4
GRIK1	0
MUC7	1.8
OPRPN	0
SMR3B	0
TMEM126A	0.8
TMEM126B	1.2
TRIM8	0.2
NETO2	1.6
CSN3	0
CLDN20	0.9
CDC42BPG	1.6
SCAND1	0.4
JUNB	3.3
FAM241B	0.1
TMEM37	3.9
UGT2B7	0
LRG1	1.6
SHCBP1	2.7
SOSTDC1	0
NPTX1	2.3
FAM98B	0.6
ZNF439	1.3
ZNF440	0.1
GAA	0.9
CANT1	0
KCNK3	2.1
ZDHHC16	0.3
CHST11	0.9
EXOSC1	0.9
PGAM1	1.7
CHD7	0.8
ESCO2	3
KRT19	0
KRT15	2.7
LURAP1	0
KRT38	1.7
CLCN5	1
TPPP	0.2
KCND3	2.4
APLN	0.8
KRTAP4-4	0
KRT13	2
XAGE3	0
KRT9	2.7
XAGE5	0
PDE7B	1.6
MRPL36	1.7
ZNF581	0.6
NAT1	0.6
KRT20	1.5
GLOD5	0
KSR2	1.2
ZNF524	0.3
MCC	0.1
KRT27	0
ZBTB26	0.8
CDK5R2	0
DSEL	1.4
POLR1C	0.4
ASXL1	0.8
OR1L6	0
DLK2	0.2
ZNF562	0.3
ZNF318	0.6
ZNF561	0.1
WIPF2	0.6
HOPX	1.6
SPACA5B	0
OR1L3	0
SSX6P	0
NLRP5	3
LRRC8C	0.3
SPACA5	0
RSL1D1	0.6
LRRC8D	0.5
MROH2B	3.7
OR1L8	0.4
PPID	0.6
OR1N2	0
COL24A1	4.4
ETFDH	0.4
OR1N1	0
RXFP1	2.4
LPAR3	1
PTGER4	3.6
TBCA	1.1
NEUROD2	1.1
MAP6	1.8
OTP	2.6
ECEL1	1.4
BCL2L1	1
FGG	1.4
FGA	2.6
OR2AT4	2.7
FGB	0.8
PLRG1	0.6
RAB4B-EGLN2	0
ZNF584	0.3
DSCAM	3.8
DNAI2	1.9
NMUR1	1.7
CLSTN1	0.3
CXXC5	0.3
ZNF274	1
PIK3CD	1
PTCRA	1
SLC25A33	0.8
ENC1	0.2
